fold,train_rows,test_rows,persistence_mae,persistence_rmse,mean_change_mae,mean_change_rmse,random_forest_mae,random_forest_rmse,histgradientboosting_mae,histgradientboosting_rmse,xgboost_mae,xgboost_rmse
1,184,32,0.53125,0.8477912478906585,0.5747282608695627,0.8814071388543645,1.4224011787661568,1.8477307459423844,1.2918338130196256,1.7075727154985334,1.0768760381179163,1.3870830661588045
2,216,32,1.125,1.5811388300841898,1.1429398148148153,1.5920743665896124,1.3238184951754137,1.7249504915747906,1.399089034995527,1.7964599915159458,1.3161203182535246,1.6825880734732421
3,248,32,0.6875,1.0897247358851685,0.670362903225806,0.9907053741640358,0.6684351388719783,0.9027129522217955,0.7127254723880714,0.9723309209001865,0.6724305243697017,0.85235491381101
4,280,32,1.03125,1.4252192813739224,1.2044642857142862,1.6169620671279241,1.4638097236510725,1.9855591963603314,1.384043706716955,1.8347674834297347,1.4953636350401212,1.950294156443634
5,322,32,0.3125,0.6614378277661477,0.31640987025023404,0.6597389782452827,0.4678829296326872,0.7644422537751346,0.6146314102281387,0.8523279094654557,0.6015572095639072,0.8543332789556539
