model,mae,rmse,mae_improvement_vs_persistence_pct,rmse_improvement_vs_persistence_pct,mae_fold_wins,rmse_fold_wins
Persistence,0.7375,1.1726039399558574,0.0,0.0,0,0
Mean Change,0.7817810269749409,1.211849686843991,-6.004207047449606,-3.3468885401844153,1,2
XGBoost,1.0324695450690342,1.4152839718378771,-39.995870517835144,-20.69582265697959,1,1
Random Forest,1.0692694932194615,1.5317487433389194,-44.98569399585918,-30.627971742665473,1,1
HistGradientBoosting,1.0804646874696637,1.495415332479639,-46.503686436564564,-27.52944805352896,0,1
